name,ttm,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"5,104,193,000","1,269,857,000","1,278,637,000","1,328,484,000","1,227,215,000","1,173,021,000","1,178,949,000","1,271,029,000","1,273,659,000","1,102,912,000","1,114,367,000","1,211,661,000","1,227,272,000","1,072,064,000","1,126,149,000","1,162,526,000","1,169,291,000","865,702,000","841,560,000","849,028,000","840,384,000","625,456,000","619,716,000","618,806,000","614,683,000","453,253,000","440,638,000","457,676,000","459,473,000","388,582,000","394,337,000","434,464,000","428,979,000","383,551,000","386,700,000","419,855,000","430,693,000","377,185,000","372,859,000","405,858,000","422,893,000","359,629,000","354,376,000","395,364,000","417,361,000","347,498,000","354,420,000","374,556,000","377,749,000","336,261,000","348,375,000","381,563,000","396,003,000","337,674,000","340,640,000","367,360,000","390,443,000","337,556,000","340,576,000","370,626,000","386,624,000","333,179,000","357,721,000","358,414,000","357,780,000","306,257,000","318,708,000","321,336,000","333,711,000","282,727,000","291,763,000","325,637,000","318,165,000","275,200,000","289,227,000","333,047,000","341,119,000","283,198,000","254,347,000","266,604,000","271,678,000","230,057,000","237,452,000","258,565,000","270,933,000","228,184,000","230,951,000","260,300,000","261,000,000","220,300,000","235,200,000","248,500,000","241,400,000","203,300,000","196,500,000","219,100,000","208,200,000","178,400,000","183,600,000","204,600,000","213,600,000","172,000,000","179,500,000","203,600,000","207,900,000","171,000,000","171,000,000","188,400,000","200,700,000","163,800,000","156,300,000","181,900,000","194,500,000","154,300,000","162,900,000","170,900,000","173,900,000","148,100,000","114,500,000","123,300,000","125,100,000","101,900,000","98,000,000","115,400,000","123,200,000","94,400,000","92,800,000","101,500,000","105,200,000","84,700,000","78,500,000","86,900,000","92,100,000","70,600,000","76,900,000","95,600,000","105,100,000","76,900,000","86,900,000","98,000,000","126,500,000","78,900,000","77,300,000","93,000,000"
	OperatingRevenue,"5,104,193,000","1,269,857,000","1,278,637,000","1,328,484,000","1,227,215,000","1,173,021,000","1,178,949,000","1,271,029,000","1,273,659,000","1,102,912,000","1,114,367,000","1,211,661,000","1,227,272,000","1,072,064,000","1,126,149,000","1,162,526,000","1,169,291,000","865,702,000","841,560,000","849,028,000","840,384,000","625,456,000","619,716,000","618,806,000","614,683,000","453,253,000","440,638,000","457,676,000","459,473,000","388,582,000","394,337,000","434,464,000","428,979,000","383,551,000","386,700,000","419,855,000","430,693,000","377,185,000","372,859,000","405,858,000","422,893,000","359,629,000","354,376,000","395,364,000","417,361,000","347,498,000","354,420,000","374,556,000","377,749,000","336,261,000","348,375,000","381,563,000","396,003,000","337,674,000","340,640,000","367,360,000","390,443,000","337,556,000","340,576,000","370,626,000","386,624,000","333,179,000","357,721,000","358,414,000","357,780,000","306,257,000","318,708,000","321,336,000","333,711,000","282,727,000","291,763,000","325,637,000","318,165,000","275,200,000","289,227,000","333,047,000","341,119,000","283,198,000","254,347,000","266,604,000","271,678,000","230,057,000","237,452,000","258,565,000","270,933,000","228,184,000","230,951,000","260,300,000","261,000,000","220,300,000","235,200,000","248,500,000","241,400,000","203,300,000","196,500,000","219,100,000","208,200,000","178,400,000","183,600,000","204,600,000","213,600,000","172,000,000","179,500,000","203,600,000","207,900,000","171,000,000","171,000,000","188,400,000","200,700,000","163,800,000","156,300,000","181,900,000","194,500,000","154,300,000","162,900,000","170,900,000","173,900,000","148,100,000","114,500,000","123,300,000","125,100,000","101,900,000","98,000,000","115,400,000","123,200,000","94,400,000","92,800,000","101,500,000","105,200,000","84,700,000","78,500,000","86,900,000","92,100,000","70,600,000","76,900,000","95,600,000","105,100,000","76,900,000","86,900,000","98,000,000","126,500,000","78,900,000","77,300,000","93,000,000"
CostOfRevenue,"3,291,876,000","821,154,000","816,762,000","856,046,000","797,914,000","767,726,000","765,758,000","838,805,000","837,880,000","713,604,000","755,924,000","791,317,000","815,295,000","707,116,000","742,725,000","752,202,000","754,113,000","533,681,000","516,633,000","521,838,000","520,677,000","381,558,000","378,910,000","380,270,000","377,366,000","268,880,000","262,194,000","272,734,000","273,953,000","232,249,000","235,823,000","258,352,000","258,664,000","229,852,000","232,326,000","248,927,000","257,280,000","221,591,000","221,066,000","243,142,000","257,320,000","210,468,000","201,388,000","222,247,000","249,353,000","200,795,000","199,002,000","217,236,000","217,622,000","189,132,000","200,794,000","225,736,000","224,123,000","197,756,000","195,499,000","212,148,000","221,153,000","186,065,000","189,101,000","213,237,000","218,935,000","187,153,000","197,637,000","197,229,000","191,228,000","166,315,000","171,098,000","169,938,000","173,026,000","142,210,000","151,730,000","168,878,000","164,505,000","140,306,000","158,067,000","179,129,000","181,448,000","148,616,000","139,514,000","145,496,000","146,970,000","123,590,000","127,567,000","137,514,000","142,901,000","122,138,000","126,640,000","142,700,000","145,400,000","128,100,000","136,800,000","142,600,000","137,000,000","118,300,000","113,900,000","124,900,000","114,200,000","99,300,000","103,500,000","114,600,000","119,600,000","98,300,000","107,100,000","120,800,000","120,500,000","98,900,000","98,100,000","112,600,000","118,900,000","97,300,000","93,900,000","108,700,000","108,900,000","84,400,000","91,300,000","98,400,000","99,800,000","83,400,000","65,000,000","71,000,000","70,200,000","56,700,000","50,700,000","67,200,000","69,100,000","53,100,000","51,600,000","59,100,000","60,000,000",,,,,,,,,,,,,,,
GrossProfit,"1,812,317,000","448,703,000","461,875,000","472,438,000","429,301,000","405,295,000","413,191,000","432,224,000","435,779,000","389,308,000","358,443,000","420,344,000","411,977,000","364,948,000","383,424,000","410,324,000","415,178,000","332,021,000","324,927,000","327,190,000","319,707,000","243,898,000","240,806,000","238,536,000","237,317,000","184,373,000","178,444,000","184,942,000","185,520,000","156,333,000","158,514,000","176,112,000","170,315,000","153,699,000","154,374,000","170,928,000","173,413,000","155,594,000","151,793,000","162,716,000","165,573,000","149,161,000","152,988,000","173,117,000","168,008,000","146,703,000","155,418,000","157,320,000","160,127,000","147,129,000","147,581,000","155,827,000","171,880,000","139,918,000","145,141,000","155,212,000","169,290,000","151,491,000","151,475,000","157,389,000","167,689,000","146,026,000","160,084,000","161,185,000","166,552,000","139,942,000","147,610,000","151,398,000","160,685,000","140,517,000","140,033,000","156,759,000","153,660,000","134,894,000","131,160,000","153,918,000","159,671,000","134,582,000","114,833,000","121,108,000","124,708,000","106,467,000","109,885,000","121,051,000","128,032,000","106,046,000","104,311,000","117,600,000","115,600,000","92,200,000","98,400,000","105,900,000","104,400,000","85,000,000","82,600,000","94,200,000","94,000,000","79,100,000","80,100,000","90,000,000","94,000,000","73,700,000","72,400,000","82,800,000","87,400,000","72,100,000","72,900,000","75,800,000","81,800,000","66,500,000","62,400,000","73,200,000","85,600,000","69,900,000","71,600,000","72,500,000","74,100,000","64,700,000","49,500,000","52,300,000","54,900,000","45,200,000","47,300,000","48,200,000","54,100,000","41,300,000","41,200,000","42,400,000","45,200,000",,,,,,,,,,,,,,,
OperatingExpense,"1,437,576,000","354,519,000","368,280,000","368,594,000","346,183,000","372,474,000","373,651,000","378,378,000","368,565,000","369,154,000","345,627,000","375,940,000","392,298,000","383,945,000","384,296,000","374,194,000","367,865,000","318,413,000","304,006,000","287,389,000","264,971,000","231,497,000","225,565,000","210,851,000","199,001,000","167,471,000","164,303,000","156,496,000","154,256,000","144,217,000","157,454,000","145,912,000","143,416,000","138,211,000","140,308,000","143,490,000","144,864,000","136,961,000","136,826,000","137,752,000","137,153,000","129,982,000","137,809,000","139,455,000","138,190,000","129,044,000","139,030,000","131,024,000","129,449,000","125,988,000","134,428,000","149,384,000","135,673,000","136,243,000","136,541,000","134,972,000","136,796,000","130,942,000","132,030,000","135,557,000","138,452,000","131,876,000","143,456,000","133,094,000","132,369,000","126,716,000","132,257,000","128,207,000","130,380,000","125,017,000","124,752,000","128,202,000","126,838,000","121,838,000","118,297,000","123,049,000","126,527,000","115,192,000","105,095,000","101,049,000","103,062,000","95,892,000","103,171,000","101,729,000","103,806,000","94,101,000","93,381,000","94,500,000","92,400,000","86,200,000","84,900,000","83,800,000","79,100,000","78,600,000","73,800,000","73,700,000","69,700,000","69,400,000","73,300,000","71,400,000","69,000,000","63,500,000","62,900,000","65,500,000","65,000,000","59,300,000","63,000,000","60,100,000","61,800,000","56,300,000","52,700,000","57,000,000","65,600,000","58,400,000","60,200,000","60,500,000","60,400,000","57,900,000","44,600,000","45,000,000","44,600,000","40,700,000","41,400,000","40,300,000","42,500,000","36,900,000","36,500,000","35,700,000","36,600,000",,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,437,576,000","354,519,000","368,280,000","368,594,000","346,183,000","372,474,000","373,651,000","378,378,000","368,565,000","369,154,000","345,627,000","375,940,000","392,298,000","383,945,000","384,296,000","374,194,000","367,865,000","318,413,000","304,006,000","287,389,000","264,971,000","231,497,000","225,565,000","210,851,000","199,001,000","167,471,000","164,303,000","156,496,000","154,256,000","144,217,000","157,454,000","145,912,000","143,416,000","138,211,000","140,308,000","143,490,000","144,864,000","136,961,000","136,826,000","137,752,000","137,153,000","129,982,000","137,809,000","139,455,000","138,190,000","129,044,000","139,030,000","131,024,000","129,449,000","125,988,000","66,155,000","149,384,000","135,673,000","136,243,000","136,430,000","134,861,000","136,684,000","130,831,000","131,906,000","135,421,000","138,310,000","131,728,000","126,253,000","115,927,000","115,242,000","109,111,000","113,806,000","109,646,000","111,924,000","106,570,000","104,726,000","108,400,000","106,789,000","102,125,000","97,729,000","102,961,000","106,984,000","96,520,000","84,034,000","80,518,000","82,747,000","76,369,000","83,394,000","81,772,000","83,815,000","74,242,000","73,507,000","75,300,000","74,800,000","68,300,000","72,200,000","70,700,000","66,700,000","66,500,000","61,800,000","62,000,000","58,100,000","58,100,000","63,000,000","61,200,000","58,900,000","53,400,000","52,800,000","55,700,000","55,100,000","49,900,000","53,400,000","51,100,000","52,800,000","47,300,000","43,700,000","48,000,000","55,300,000","48,500,000","50,200,000","50,600,000","51,200,000","46,500,000","37,000,000","37,600,000","37,200,000","33,500,000","34,000,000","32,800,000","35,100,000","29,700,000","29,100,000","28,800,000","29,800,000",,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,000","111,000","112,000","111,000","124,000","136,000","142,000","148,000","17,203,000","17,167,000","17,127,000","17,605,000","18,451,000","18,561,000","18,456,000","18,447,000","20,026,000","19,802,000","20,049,000","19,713,000","20,568,000","20,088,000","19,543,000","18,672,000","21,061,000","20,531,000","20,315,000","19,523,000","19,777,000","19,957,000","19,991,000","19,859,000","19,874,000","19,200,000","17,600,000","17,900,000","12,700,000","13,100,000","12,400,000","12,100,000","12,000,000","11,700,000","11,600,000","11,300,000","10,300,000","10,200,000","10,100,000","10,100,000","10,100,000","9,800,000","9,900,000","9,400,000","9,600,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","10,300,000","9,900,000","10,000,000","9,900,000","9,200,000","11,400,000","7,600,000","7,400,000","7,400,000","7,200,000","7,400,000","7,500,000","7,400,000","7,200,000","7,400,000","6,900,000","6,800,000",,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,000","111,000","112,000","111,000","124,000","136,000","142,000","148,000","17,203,000","17,167,000","17,127,000","17,605,000","18,451,000","18,561,000","18,456,000","18,447,000","20,026,000","19,802,000","20,049,000","19,713,000","20,568,000","20,088,000","19,543,000","18,672,000","21,061,000","20,531,000","20,315,000","19,523,000","19,777,000","19,957,000","19,991,000","19,859,000","19,874,000","19,200,000","17,600,000","17,900,000","12,700,000","13,100,000","12,400,000","12,100,000","12,000,000","11,700,000","11,600,000","11,300,000","10,300,000","10,200,000","10,100,000","10,100,000","10,100,000","9,800,000","9,900,000","9,400,000","9,600,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","10,300,000","9,900,000","10,000,000","9,900,000","9,200,000","11,400,000","7,600,000","7,400,000","7,400,000","7,200,000","7,400,000","7,500,000","7,400,000","7,200,000","7,400,000","6,900,000","6,800,000",,,,,,,,,,,,,,,
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,046,000","17,010,000","16,970,000","17,196,000","17,690,000","17,795,000","17,661,000","17,652,000","19,232,000","18,956,000","19,282,000","19,015,000","19,828,000","19,405,000","18,857,000","17,985,000","16,926,000","16,810,000","16,595,000","15,803,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,000","111,000","112,000","111,000","124,000","136,000","142,000","148,000","157,000","157,000","157,000","409,000","761,000","766,000","795,000","795,000","794,000","846,000","767,000","698,000","740,000","683,000","686,000","687,000","4,135,000","3,721,000","3,720,000","3,720,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"111,000","111,000","112,000","111,000","124,000","136,000","142,000","148,000","157,000","157,000","157,000","409,000","761,000","766,000","795,000","795,000","794,000","846,000","767,000","698,000","740,000","683,000","686,000","687,000","4,135,000","3,721,000","3,720,000","3,720,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"374,741,000","94,184,000","93,595,000","103,844,000","83,118,000","32,821,000","39,540,000","53,846,000","67,214,000","20,154,000","12,816,000","44,404,000","19,679,000","-18,997,000","-872,000","36,130,000","47,313,000","13,608,000","20,921,000","39,801,000","54,736,000","12,401,000","15,241,000","27,685,000","38,316,000","16,902,000","14,141,000","28,446,000","31,264,000","12,116,000","1,060,000","30,200,000","26,899,000","15,488,000","14,066,000","27,438,000","28,549,000","18,633,000","14,967,000","24,964,000","28,420,000","19,179,000","15,179,000","33,662,000","29,818,000","17,659,000","16,388,000","26,296,000","30,678,000","21,141,000","13,153,000","6,443,000","36,207,000","3,675,000","8,600,000","20,240,000","32,494,000","20,549,000","19,445,000","21,832,000","29,237,000","14,150,000","16,628,000","28,091,000","34,183,000","13,226,000","15,353,000","23,191,000","30,305,000","15,500,000","15,281,000","28,557,000","26,822,000","13,056,000","12,863,000","30,869,000","33,144,000","19,390,000","9,738,000","20,059,000","21,646,000","10,575,000","6,714,000","19,322,000","24,226,000","11,945,000","10,930,000","23,100,000","23,200,000","6,000,000","13,500,000","22,100,000","25,300,000","6,400,000","8,800,000","20,500,000","24,300,000","9,700,000","6,800,000","18,600,000","25,000,000","10,200,000","9,500,000","17,300,000","22,400,000","12,800,000","9,900,000","15,700,000","20,000,000","10,200,000","9,700,000","16,200,000","20,000,000","11,500,000","11,400,000","12,000,000","13,700,000","6,800,000","4,900,000","7,300,000","10,300,000","4,500,000","5,900,000","7,900,000","11,600,000","4,400,000","4,700,000","6,700,000","8,600,000","84,700,000","-216,800,000","86,900,000","92,100,000","70,600,000","-277,200,000","95,600,000","105,100,000","76,900,000","-296,200,000","98,000,000","126,500,000","78,900,000","-220,900,000","93,000,000"
NetNonOperatingInterestIncomeExpense,"-35,920,000","-8,746,000","-8,957,000","-9,033,000","-9,184,000","-9,561,000","-10,144,000","-10,965,000","-11,995,000","-12,886,000","-12,889,000","-12,827,000","-12,744,000","-12,046,000","-11,262,000","-10,697,000","-10,440,000","-9,470,000","-8,704,000","-8,452,000","-9,808,000","-9,361,000","-8,164,000","-6,686,000","-6,718,000","-7,347,000","-7,373,000","-7,333,000","-7,343,000","-7,223,000","-7,254,000","-7,361,000","-7,409,000","-7,379,000","-8,155,000","-9,033,000","-9,079,000","-9,071,000","-9,081,000","-9,087,000","-9,042,000","8,769,000","-8,674,000","-8,841,000","-8,802,000","-8,810,000","-9,320,000","-8,866,000","-9,935,000","-9,258,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"35,920,000","8,746,000","8,957,000","9,033,000","9,184,000","9,561,000","10,144,000","10,965,000","11,995,000","12,886,000","12,889,000","12,827,000","12,744,000","12,046,000","11,262,000","10,697,000","10,440,000","9,470,000","8,704,000","8,452,000","9,808,000","9,361,000","8,164,000","6,686,000","6,718,000","7,347,000","7,373,000","7,333,000","7,343,000","7,223,000","7,254,000","7,361,000","7,409,000","7,379,000","8,155,000","9,033,000",,,,"9,087,000","9,042,000",,,"8,841,000","8,802,000","8,810,000",,"8,866,000","9,935,000","9,258,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"45,990,000",,,,,,"10,144,000","10,965,000","11,995,000","12,886,000","12,889,000","12,827,000","12,744,000","12,046,000","11,262,000","10,697,000","10,440,000","9,470,000","8,704,000","8,452,000","9,808,000","9,361,000","8,164,000","6,686,000","6,718,000","7,347,000","7,373,000","7,333,000","7,343,000","7,223,000","7,254,000","7,361,000","7,409,000","7,379,000","8,155,000","9,033,000","9,079,000","9,071,000","9,081,000","9,087,000","9,042,000","-8,769,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-45,360,000","-12,055,000","4,223,000","-21,394,000","-16,134,000","-2,298,000","-32,796,000","-20,711,000","-31,181,000","-15,851,000","-27,241,000","11,866,000","-9,818,000","4,510,000","41,265,000","5,226,000","-25,549,000","-12,246,000","27,970,000","7,325,000","-16,966,000","-17,151,000","1,438,000","18,659,000","14,885,000","-5,089,000","-1,077,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-246,000","-199,000","-1,314,000","-221,000","-650,000","-899,000","-1,670,000","-924,000","-2,037,000","-1,369,000",,"4,245,000","-786,000","-1,019,000","-4,163,000","-1,100,000","-1,200,000","-1,200,000","-1,100,000","-600,000","-1,200,000","-1,200,000","-400,000","-400,000","-400,000","-400,000","-500,000","-1,300,000","-1,600,000","-1,000,000","-700,000","-1,100,000","-600,000","-1,000,000","-400,000","800,000","-300,000",,"-200,000","-400,000","-1,100,000","-600,000","-600,000","-400,000","-700,000","-500,000","-700,000","-700,000","-400,000","-700,000","-1,300,000","-700,000","-800,000","-600,000","-900,000","-400,000",,,,,,,,,,,,,,,,
