name,ttm,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2004,09/30/2003,09/30/2002,09/30/2001,09/30/2000,09/30/1999,09/30/1998,09/30/1997,09/30/1996,09/30/1995,09/30/1994,09/30/1993,09/30/1992,09/30/1991,09/30/1990,09/30/1989,09/30/1988,09/30/1987,09/30/1986,09/30/1985
TotalRevenue,"58,348,000,000","65,388,000,000","69,570,000,000","59,434,000,000","55,137,000,000","55,632,000,000","52,465,000,000","48,813,000,000","45,041,000,000","42,278,000,000","40,893,000,000","38,063,000,000","36,149,000,000","37,843,000,000","35,510,000,000","34,285,000,000","31,944,000,000","30,752,000,000","27,061,000,000","25,329,000,000","25,269,000,000","25,402,000,000","23,402,000,000","22,976,000,000","22,473,000,000","18,739,000,000","12,112,100,000","10,055,100,000","8,529,200,000","7,504,000,000","6,182,400,000","5,843,700,000","4,594,300,000","3,497,100,000","2,925,800,000","2,470,900,000","2,015,400,000"
	OperatingRevenue,"58,348,000,000","65,388,000,000","69,570,000,000","59,434,000,000","55,137,000,000","55,632,000,000","52,465,000,000","48,813,000,000","45,041,000,000","42,278,000,000","40,893,000,000","38,063,000,000","36,149,000,000","37,843,000,000","35,510,000,000","34,285,000,000","31,944,000,000","30,752,000,000","27,061,000,000","25,329,000,000","25,269,000,000","25,402,000,000","23,402,000,000","22,976,000,000","22,473,000,000","18,739,000,000","12,112,100,000","10,055,100,000","8,529,200,000","7,504,000,000","6,182,400,000","5,843,700,000","4,594,300,000","3,497,100,000","2,925,800,000","2,470,900,000","2,015,400,000"
CostOfRevenue,"40,466,000,000","43,880,000,000","42,018,000,000","32,726,000,000","30,306,000,000","29,993,000,000","28,364,000,000","26,420,000,000","35,591,000,000","33,415,000,000","33,112,000,000","31,337,000,000","30,452,000,000","30,439,000,000","28,729,000,000","28,807,000,000","27,837,000,000","26,704,000,000","24,330,000,000","22,924,000,000","21,670,000,000","17,890,000,000","16,392,000,000","15,207,000,000","13,203,000,000","11,462,000,000","7,813,400,000","6,481,100,000","5,776,300,000","5,309,100,000","4,223,000,000","3,879,900,000","2,901,700,000",,,,
GrossProfit,"17,882,000,000","21,508,000,000","27,552,000,000","26,708,000,000","24,831,000,000","25,639,000,000","24,101,000,000","22,393,000,000","9,450,000,000","8,863,000,000","7,781,000,000","6,726,000,000","5,697,000,000","7,404,000,000","6,781,000,000","5,478,000,000","4,107,000,000","4,048,000,000","2,731,000,000","2,405,000,000","3,599,000,000","7,512,000,000","7,010,000,000","7,769,000,000","9,270,000,000","7,277,000,000","4,298,700,000","3,574,000,000","2,752,900,000","2,194,900,000","1,959,400,000","1,963,800,000","1,692,600,000",,,,
OperatingExpense,"16,579,000,000","17,714,000,000","15,701,000,000","11,871,000,000","10,958,000,000","11,281,000,000","10,877,000,000","10,853,000,000",,"0","0","0","0",,,"0","0","0","18,000,000","21,000,000","767,000,000","4,769,000,000","3,975,000,000","3,990,000,000","5,325,000,000","4,253,000,000","2,036,600,000","1,770,500,000","1,192,600,000","907,800,000","955,300,000","676,800,000","583,200,000","2,649,400,000","2,170,300,000","1,967,400,000","1,653,900,000"
	SellingGeneralAndAdministration,"11,297,000,000","12,369,000,000","11,541,000,000","8,860,000,000","8,176,000,000","8,754,000,000","8,523,000,000","8,565,000,000",,,,,,,,,,,,,,"105,000,000","196,000,000","236,000,000","367,000,000","309,000,000","183,600,000","162,200,000","164,200,000","148,200,000","160,800,000","138,500,000","119,600,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,"5,282,000,000","5,345,000,000","4,160,000,000","3,011,000,000","2,782,000,000","2,527,000,000","2,354,000,000","2,288,000,000",,,,,,,,,,,"18,000,000","21,000,000","767,000,000","4,664,000,000","3,779,000,000","3,754,000,000","4,958,000,000","3,944,000,000","1,853,000,000","1,608,300,000","1,028,400,000","759,600,000","794,500,000","538,300,000","463,600,000",,,,
		DepreciationAndAmortizationInIncomeStatement,"5,282,000,000","5,345,000,000","4,160,000,000","3,011,000,000","2,782,000,000","2,527,000,000","2,354,000,000","2,288,000,000",,,,,,,,,,,"18,000,000","21,000,000","767,000,000","4,664,000,000","3,779,000,000","3,754,000,000","4,958,000,000","3,944,000,000","1,853,000,000","1,608,300,000","1,028,400,000","759,600,000","794,500,000","538,300,000","463,600,000",,,,
			Amortization,,,,,,,,,,,,,,,,,,,"18,000,000","21,000,000","767,000,000",,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,"18,000,000","21,000,000","767,000,000",,,,,,,,,,,,,,,,
OperatingIncome,"1,303,000,000","3,794,000,000","11,851,000,000","14,837,000,000","13,873,000,000","14,358,000,000","13,224,000,000","11,540,000,000","9,450,000,000","8,863,000,000","7,781,000,000","6,726,000,000","5,697,000,000","7,404,000,000","6,781,000,000","5,478,000,000","4,107,000,000","4,048,000,000","2,713,000,000","2,384,000,000","2,832,000,000","2,743,000,000","3,035,000,000","3,779,000,000","3,945,000,000","3,024,000,000","2,262,100,000","1,803,500,000","1,560,300,000","1,287,100,000","1,004,100,000","1,287,000,000","1,109,400,000","847,700,000","755,500,000","503,500,000","361,500,000"
NetNonOperatingInterestIncomeExpense,"-1,479,000,000","-1,491,000,000","-978,000,000","-574,000,000","-385,000,000","-260,000,000","-117,000,000","23,000,000","-235,000,000","-369,000,000","-343,000,000","-409,000,000","-466,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"260,000,000","156,000,000","268,000,000","108,000,000","122,000,000","94,000,000","148,000,000","317,000,000","114,000,000","103,000,000","92,000,000","47,000,000","122,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,739,000,000","1,647,000,000","1,246,000,000","682,000,000","507,000,000","354,000,000","265,000,000","294,000,000","349,000,000","472,000,000","435,000,000","456,000,000","466,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,"978,000,000","574,000,000","385,000,000","260,000,000","117,000,000","-23,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-3,968,000,000","-4,046,000,000","3,071,000,000","466,000,000","300,000,000","770,000,000","761,000,000","683,000,000","405,000,000","766,000,000","605,000,000","310,000,000","427,000,000","522,000,000","1,537,000,000","561,000,000","477,000,000","308,000,000","334,000,000","259,000,000","-1,132,000,000","448,000,000","-109,000,000",,"135,000,000","-484,000,000","32,900,000","19,200,000","-328,600,000","141,500,000","119,400,000","80,800,000","67,400,000",,,,
	GainOnSaleOfSecurity,,"65,000,000",,,,,,"-143,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"729,000,000","651,000,000","-103,000,000","-102,000,000","320,000,000","926,000,000","814,000,000","854,000,000","688,000,000","627,000,000","585,000,000","440,000,000","577,000,000","581,000,000","485,000,000","473,000,000","483,000,000","372,000,000","334,000,000","225,000,000","300,000,000",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-4,994,000,000","-4,762,000,000","3,174,000,000","568,000,000","-20,000,000","-156,000,000","-53,000,000","-63,000,000","-283,000,000","139,000,000","20,000,000","310,000,000","427,000,000","-59,000,000","1,052,000,000","88,000,000","-6,000,000","-64,000,000","0","34,000,000","-1,432,000,000","448,000,000","-109,000,000",,"135,000,000","-484,000,000","32,900,000","19,200,000","-328,600,000","141,500,000","119,400,000","80,800,000","67,400,000",,,,
		RestructuringAndMergernAcquisition,"5,967,000,000","5,735,000,000","-3,611,000,000","30,000,000","-157,000,000","156,000,000","53,000,000","140,000,000","214,000,000","100,000,000","55,000,000","270,000,000","492,000,000",,,"-18,000,000","6,000,000","64,000,000","16,000,000",,"1,454,000,000",,,,,,,,,,,,,,,,
		OtherSpecialCharges,,"-973,000,000","465,000,000","-38,000,000","177,000,000",,,,"321,000,000","-239,000,000","-75,000,000","-580,000,000","-919,000,000",,,"-70,000,000",,,"-16,000,000",,"-22,000,000",,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,"0","0","252,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,"28,000,000","560,000,000",,,"0","77,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,"1,038,000,000","4,357,000,000","601,000,000","78,000,000",,,"35,000,000","-69,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-4,144,000,000","-1,743,000,000","13,944,000,000","14,729,000,000","13,788,000,000","14,868,000,000","13,868,000,000","12,246,000,000","9,620,000,000","9,260,000,000","8,043,000,000","6,627,000,000","5,658,000,000","7,402,000,000","7,725,000,000","5,447,000,000","3,987,000,000","3,739,000,000","2,254,000,000","2,190,000,000","120,000,000","2,526,000,000","2,314,000,000","3,157,000,000","3,387,000,000","2,061,000,000","2,116,700,000","1,702,800,000","1,074,000,000","1,301,800,000","1,018,500,000","1,324,700,000","1,152,900,000","841,900,000","726,400,000","462,200,000","309,900,000"
TaxProvision,"-158,000,000","699,000,000","3,031,000,000","1,663,000,000","4,422,000,000","5,078,000,000","5,016,000,000","4,242,000,000","2,984,000,000","3,087,000,000","2,785,000,000","2,314,000,000","2,049,000,000","2,673,000,000","2,874,000,000","1,890,000,000","1,241,000,000","1,197,000,000","789,000,000","853,000,000","1,059,000,000","1,606,000,000","1,014,000,000","1,307,000,000","1,421,000,000","847,000,000","736,600,000","592,400,000","402,700,000","485,100,000","381,900,000","500,700,000","449,600,000","319,900,000","334,100,000","214,900,000","136,400,000"
NetIncomeCommonStockholders,"-4,513,000,000","-2,864,000,000","11,054,000,000","12,598,000,000","8,980,000,000","9,391,000,000","8,382,000,000","7,501,000,000","6,136,000,000","5,682,000,000","4,807,000,000","3,963,000,000","3,307,000,000","4,427,000,000","4,687,000,000","3,374,000,000","2,533,000,000","2,345,000,000","1,267,000,000","1,236,000,000","-158,000,000","920,000,000","1,300,000,000","1,850,000,000","1,966,000,000","1,214,000,000","1,380,100,000","1,110,400,000","299,800,000","816,700,000","636,600,000","824,000,000","703,300,000","522,000,000","444,700,000","247,300,000","173,500,000"
	NetIncome,"-4,513,000,000","-2,864,000,000","11,054,000,000","12,598,000,000","8,980,000,000","9,391,000,000","8,382,000,000","7,501,000,000","6,136,000,000","5,682,000,000","4,807,000,000","3,963,000,000","3,307,000,000","4,427,000,000","4,687,000,000","3,374,000,000","2,533,000,000","2,345,000,000","1,267,000,000","1,236,000,000","-158,000,000","920,000,000","1,300,000,000","1,850,000,000","1,966,000,000","1,214,000,000","1,380,100,000","1,110,400,000","299,800,000","816,700,000","636,600,000","824,000,000","703,300,000","522,000,000","444,700,000","247,300,000","173,500,000"
		NetIncomeIncludingNoncontrollingInterests,"-4,012,000,000","-2,474,000,000","11,584,000,000","13,066,000,000","9,366,000,000","9,790,000,000","8,852,000,000","8,004,000,000","6,636,000,000","6,173,000,000","5,258,000,000","4,313,000,000","3,609,000,000","4,729,000,000","4,864,000,000","3,557,000,000","2,710,000,000","2,542,000,000","1,394,000,000","1,337,000,000","-54,000,000","1,027,000,000","1,300,000,000","1,850,000,000","1,966,000,000","1,214,000,000","1,380,100,000","1,110,400,000","299,800,000","816,700,000","636,600,000","824,000,000","703,300,000","522,000,000","444,700,000","247,300,000","173,500,000"
			NetIncomeContinuousOperations,"-3,986,000,000","-2,442,000,000","10,913,000,000","13,066,000,000","9,366,000,000","9,790,000,000","8,852,000,000","8,004,000,000","6,636,000,000","6,173,000,000","5,258,000,000","4,313,000,000","3,609,000,000","4,427,000,000","4,674,000,000","3,374,000,000","2,569,000,000","2,345,000,000","1,338,000,000","1,236,000,000","120,000,000","920,000,000","1,300,000,000","1,850,000,000","1,966,000,000","1,214,000,000","1,380,100,000","1,110,400,000","671,300,000","816,700,000","636,600,000","824,000,000","703,300,000","522,000,000","392,300,000","247,300,000","173,500,000"
			NetIncomeDiscontinuousOperations,"-26,000,000","-32,000,000","671,000,000",,,,,,,,,,"0",,"13,000,000",,,,,,,,,,,,,,,,,,,,"52,400,000",,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,"-36,000,000",,"-71,000,000",,"-278,000,000",,,,,,,,"-371,500,000",,,,,,,,
		MinorityInterests,"-501,000,000","-390,000,000","-530,000,000","-468,000,000","-386,000,000","-399,000,000","-470,000,000","-503,000,000","-500,000,000","-491,000,000","-451,000,000","-350,000,000","-302,000,000","-302,000,000","-177,000,000","-183,000,000","-177,000,000","-197,000,000","-127,000,000","-101,000,000","-104,000,000","-107,000,000",,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-4,513,000,000","-2,864,000,000","11,054,000,000","12,598,000,000","8,980,000,000","9,391,000,000","8,382,000,000","7,501,000,000","6,136,000,000","5,682,000,000","4,807,000,000","3,963,000,000","3,307,000,000","4,427,000,000","4,687,000,000","3,374,000,000","2,533,000,000","2,345,000,000","1,267,000,000","1,236,000,000","-158,000,000","920,000,000","1,300,000,000","1,850,000,000","1,966,000,000","1,214,000,000","1,380,100,000","1,110,400,000","299,800,000","816,700,000","636,600,000","824,000,000","703,300,000","522,000,000","444,700,000","247,300,000","173,500,000"
BasicEPS,,"-1.58","6.68","8.4","5.73","5.76","4.95","4.31","3.42","3.17","2.56","2.07","1.78","2.34","2.34","1.68","1.25","1.14","0.62","0.6","-0.02","0.58","0.63","0.91","0.953","0.653","0.293","0.23","0.06","0.17","0.033","0.042","0.036","0.027","0.023","0.013","0.002"
DilutedEPS,,"-1.58","6.64","8.36","5.69","5.73","4.9","4.26","3.38","3.13","2.52","2.03","1.76","2.28","2.25","1.64","1.22","1.12","0.62","0.6","-0.02","0.57","0.62","0.89","0.953","0.653","0.29","0.227","0.06","0.17","0.033","0.042","0.036","0.027","0.023","0.013","0.002"
BasicAverageShares,,"1,808,000,000","1,656,000,000","1,499,000,000","1,568,000,000","1,629,000,000","1,694,000,000","1,740,000,000","1,792,000,000","1,794,000,000","1,878,000,000","1,915,000,000","1,856,000,000","1,890,000,000","2,004,000,000","2,005,000,000","2,028,000,000","2,049,000,000","2,067,000,000","2,044,000,000","2,085,000,000","2,103,000,000","2,056,000,000","2,037,000,000","2,061,000,000","1,857,000,000","1,574,775,000","1,573,874,000","1,608,108,000","1,574,775,000","1,563,964,000","1,583,183,000","1,625,225,000","1,600,000,000","1,581,982,000","1,569,970,000","1,554,066,000"
DilutedAverageShares,,"1,808,000,000","1,666,000,000","1,507,000,000","1,578,000,000","1,639,000,000","1,709,000,000","1,759,000,000","1,813,000,000","1,818,000,000","1,909,000,000","1,948,000,000","1,875,000,000","1,948,000,000","2,092,000,000","2,076,000,000","2,089,000,000","2,106,000,000","2,067,000,000","2,044,000,000","2,100,000,000","2,103,000,000","2,083,000,000","2,079,000,000","2,061,000,000","1,857,000,000","1,574,775,000","1,573,874,000","1,608,108,000","1,574,775,000","1,563,964,000","1,583,183,000","1,625,225,000","1,600,000,000","1,581,982,000","1,569,970,000","1,554,066,000"
TotalExpenses,"57,045,000,000","61,594,000,000","57,719,000,000","44,597,000,000","41,264,000,000","41,274,000,000","39,241,000,000","37,273,000,000","35,591,000,000","33,415,000,000","33,112,000,000","31,337,000,000","30,452,000,000","30,439,000,000","28,729,000,000","28,807,000,000","27,837,000,000","26,704,000,000","24,348,000,000","22,945,000,000","22,437,000,000","22,659,000,000","20,367,000,000","19,197,000,000","18,528,000,000","15,715,000,000","9,850,000,000","8,251,600,000","6,968,900,000","6,216,900,000","5,178,300,000","4,556,700,000","3,484,900,000","2,649,400,000","2,170,300,000","1,967,400,000","1,653,900,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-4,513,000,000","-2,864,000,000","11,054,000,000","12,598,000,000","8,980,000,000","9,391,000,000","8,382,000,000","7,501,000,000","6,136,000,000","5,682,000,000","4,807,000,000","3,963,000,000","3,307,000,000","4,427,000,000","4,687,000,000","3,374,000,000","2,569,000,000","2,345,000,000","1,338,000,000","1,236,000,000","120,000,000","920,000,000","1,300,000,000","1,850,000,000","1,966,000,000","1,214,000,000","1,380,100,000","1,110,400,000","671,300,000","816,700,000","636,600,000","824,000,000","703,300,000","522,000,000","444,700,000","247,300,000","173,500,000"
NormalizedIncome,"254,069,980.695","596,810,000","7,897,758,000","12,094,184,000","8,993,580,000","9,493,648,000","8,415,814,000","7,635,724,000","6,331,270,000","5,589,287,000","4,793,925,276.638","3,761,245,058.096","3,034,634,676.564","4,464,694,001.621","4,013,384,854.369","3,316,534,239.031","2,573,132,430.399","2,388,511,099.224","1,338,000,000","1,215,242,922.374","979,200,000","651,200,000","1,365,400,000","1,850,000,000","1,885,000,000","1,504,400,000","1,358,649,019.7","1,097,879,633.545","876,690,297.952","727,928,260.87","561,970,603.829","773,740,167.585","662,184,187.701","522,000,000","392,300,000","247,300,000","173,500,000"
InterestIncome,"260,000,000","156,000,000","268,000,000","108,000,000","122,000,000","94,000,000","148,000,000","317,000,000","114,000,000","103,000,000","92,000,000","47,000,000","122,000,000",,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"1,739,000,000","1,647,000,000","1,246,000,000","682,000,000","507,000,000","354,000,000","265,000,000","294,000,000","349,000,000","472,000,000","435,000,000","456,000,000","466,000,000",,,,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-1,479,000,000","-1,491,000,000","-978,000,000","-574,000,000","-385,000,000","-260,000,000","-117,000,000","23,000,000","-235,000,000","-369,000,000","-343,000,000","-409,000,000","-466,000,000",,,,,,,,,,,,,,,,,,,,,,,,
EBIT,"-2,405,000,000","-96,000,000","15,190,000,000","15,411,000,000","14,295,000,000","15,222,000,000","14,133,000,000","12,540,000,000","9,969,000,000","9,732,000,000","8,478,000,000","7,083,000,000","6,124,000,000","7,404,000,000","6,781,000,000","5,478,000,000","4,107,000,000","4,048,000,000","2,713,000,000","2,384,000,000","2,832,000,000","2,743,000,000","3,035,000,000","3,779,000,000","3,945,000,000","3,024,000,000","2,262,100,000","1,803,500,000","1,560,300,000","1,287,100,000","1,004,100,000","1,287,000,000","1,109,400,000","847,700,000","755,500,000","503,500,000","361,500,000"
EBITDA,"2,877,000,000"
ReconciledCostOfRevenue,"40,466,000,000","43,880,000,000","42,018,000,000","32,726,000,000","30,306,000,000","29,993,000,000","28,364,000,000","26,420,000,000","35,591,000,000","33,415,000,000","33,112,000,000","31,337,000,000","30,452,000,000","30,439,000,000","28,729,000,000","28,807,000,000","27,837,000,000","26,704,000,000","23,271,000,000","21,903,000,000","20,683,000,000","17,890,000,000","16,392,000,000","15,207,000,000","13,203,000,000","11,462,000,000","7,813,400,000","6,481,100,000","5,776,300,000","5,309,100,000","4,223,000,000","3,879,900,000","2,901,700,000",,,,
ReconciledDepreciation,"5,282,000,000","5,345,000,000","4,160,000,000","3,011,000,000","2,782,000,000","2,527,000,000","2,354,000,000","2,288,000,000","2,192,000,000","1,987,000,000","1,841,000,000","1,713,000,000","1,631,000,000","1,582,000,000","1,491,000,000","1,436,000,000","1,339,000,000","1,210,000,000","1,077,000,000","1,042,000,000","1,754,000,000","4,664,000,000","3,779,000,000","3,754,000,000","4,958,000,000","3,944,000,000","1,853,000,000","1,608,300,000","1,028,400,000","759,600,000","794,500,000","538,300,000","463,600,000",,,,
NetIncomeFromContinuingOperationNetMinorityInterest,"-4,487,000,000","-2,832,000,000","10,383,000,000","12,598,000,000","8,980,000,000","9,391,000,000","8,382,000,000","7,501,000,000","6,136,000,000","5,682,000,000","4,807,000,000","3,963,000,000","3,307,000,000","4,427,000,000","4,674,000,000","3,374,000,000","2,569,000,000","2,345,000,000","1,338,000,000","1,236,000,000","120,000,000","920,000,000","1,300,000,000","1,850,000,000","1,966,000,000","1,214,000,000","1,380,100,000","1,110,400,000","671,300,000","816,700,000","636,600,000","824,000,000","703,300,000","522,000,000","392,300,000","247,300,000","173,500,000"
TotalUnusualItemsExcludingGoodwill,"-4,929,000,000","-4,697,000,000","3,174,000,000","568,000,000","-20,000,000","-156,000,000","-53,000,000","-206,000,000","-283,000,000","139,000,000","20,000,000","310,000,000","427,000,000","-59,000,000","1,052,000,000","88,000,000","-6,000,000","-64,000,000","0","34,000,000","-1,432,000,000","448,000,000","-109,000,000",,"135,000,000","-484,000,000","32,900,000","19,200,000","-328,600,000","141,500,000","119,400,000","80,800,000","67,400,000",,,,
TotalUnusualItems,"-4,929,000,000","-4,697,000,000","3,174,000,000","568,000,000","-20,000,000","-156,000,000","-53,000,000","-206,000,000","-283,000,000","139,000,000","20,000,000","310,000,000","427,000,000","-59,000,000","1,052,000,000","88,000,000","-6,000,000","-64,000,000","0","34,000,000","-1,432,000,000","448,000,000","-109,000,000",,"135,000,000","-484,000,000","32,900,000","19,200,000","-328,600,000","141,500,000","119,400,000","80,800,000","67,400,000",,,,
NormalizedEBITDA,"7,806,000,000","9,946,000,000","16,176,000,000","17,854,000,000","17,097,000,000","17,905,000,000","16,540,000,000","15,034,000,000","12,444,000,000","11,580,000,000","10,299,000,000","8,486,000,000","7,328,000,000","9,045,000,000","7,220,000,000","6,826,000,000","5,452,000,000","5,322,000,000","3,790,000,000","3,392,000,000","6,018,000,000","6,959,000,000","6,923,000,000","7,533,000,000","8,768,000,000","7,452,000,000","4,082,200,000","3,392,600,000","2,917,300,000","1,905,200,000","1,679,200,000","1,744,500,000","1,505,600,000","847,700,000","755,500,000","503,500,000","361,500,000"
TaxRateForCalcs,"0.038","0.27","0.217","0.113","0.321","0.342","0.362","0.346","0.31","0.333","0.346","0.349","0.362","0.361","0.372","0.347","0.311","0.32","0.35","0.389","0.4","0.4","0.4","0.4","0.4","0.4","0.348","0.348","0.375","0.373","0.375","0.378","0.39","0.38","0.4","0.4","0.4"
TaxEffectOfUnusualItems,"-187,930,019.305","-1,268,190,000","688,758,000","64,184,000","-6,420,000","-53,352,000","-19,186,000","-71,276,000","-87,730,000","46,287,000","6,925,276.638","108,245,058.096","154,634,676.564","-21,305,998.379","391,384,854.369","30,534,239.031","-1,867,569.601","-20,488,900.776","0","13,242,922.374","-572,800,000","179,200,000","-43,600,000","0","54,000,000","-193,600,000","11,449,019.7","6,679,633.545","-123,209,702.048","52,728,260.87","44,770,603.829","30,540,167.585","26,284,187.701","0","0","0","0"