Date,Inflation Rate
1/1/10,2.6
2/1/10,2.1
3/1/10,2.3
4/1/10,2.2
5/1/10,2
6/1/10,1.1
7/1/10,1.2
8/1/10,1.1
9/1/10,1.1
10/1/10,1.2
11/1/10,1.1
12/1/10,1.5
1/1/11,1.6
2/1/11,2.1
3/1/11,2.7
4/1/11,3.2
5/1/11,3.6
6/1/11,3.6
7/1/11,3.6
8/1/11,3.8
9/1/11,3.9
10/1/11,3.5
11/1/11,3.4
12/1/11,3
1/1/12,2.9
2/1/12,2.9
3/1/12,2.7
4/1/12,2.3
5/1/12,1.7
6/1/12,1.7
7/1/12,1.4
8/1/12,1.7
9/1/12,2
10/1/12,2.2
11/1/12,1.8
12/1/12,1.7
1/1/13,1.6
2/1/13,2
3/1/13,1.5
4/1/13,1.1
5/1/13,1.4
6/1/13,1.8
7/1/13,2
8/1/13,1.5
9/1/13,1.2
10/1/13,1
11/1/13,1.2
12/1/13,1.5
1/1/14,1.6
2/1/14,1.1
3/1/14,1.5
4/1/14,2
5/1/14,2.1
6/1/14,2.1
7/1/14,2
8/1/14,1.7
9/1/14,1.7
10/1/14,1.7
11/1/14,1.3
12/1/14,0.8
1/1/15,-0.1
2/1/15,0
3/1/15,-0.1
4/1/15,-0.2
5/1/15,0
6/1/15,0.1
7/1/15,0.2
8/1/15,0.2
9/1/15,0
10/1/15,0.2
11/1/15,0.5
12/1/15,0.7
1/1/16,1.4
2/1/16,1
3/1/16,0.9
4/1/16,1.1
5/1/16,1
6/1/16,1
7/1/16,0.8
8/1/16,1.1
9/1/16,1.5
10/1/16,1.6
11/1/16,1.7
12/1/16,2.1
1/1/17,2.5
2/1/17,2.7
3/1/17,2.4
4/1/17,2.2
5/1/17,1.9
6/1/17,1.6
7/1/17,1.7
8/1/17,1.9
9/1/17,2.2
10/1/17,2
11/1/17,2.2
12/1/17,2.1
1/1/18,2.1
2/1/18,2.2
3/1/18,2.4
4/1/18,2.5
5/1/18,2.8
6/1/18,2.9
7/1/18,2.9
8/1/18,2.7
9/1/18,2.3
10/1/18,2.5
11/1/18,2.2
12/1/18,1.9
1/1/19,1.6
2/1/19,1.5
3/1/19,1.9
4/1/19,2
5/1/19,1.8
6/1/19,1.6
7/1/19,1.8
8/1/19,1.7
9/1/19,1.7
10/1/19,1.8
11/1/19,2.1
12/1/19,2.3
1/1/20,2.5
2/1/20,2.3
3/1/20,1.5
4/1/20,0.3
5/1/20,0.1
6/1/20,0.6
7/1/20,1
8/1/20,1.3
9/1/20,1.4
10/1/20,1.2
11/1/20,1.2
12/1/20,1.4
1/1/21,1.4
2/1/21,1.7
3/1/21,2.6
4/1/21,4.2
5/1/21,5
6/1/21,5.4
7/1/21,
8/1/21,
9/1/21,
10/1/21,
11/1/21,
12/1/21,