TotalRevenue,	OperatingRevenue,CostOfRevenue,GrossProfit,OperatingExpense,	SellingGeneralAndAdministration,	DepreciationAmortizationDepletionIncomeStatement,		DepreciationAndAmortizationInIncomeStatement,			DepreciationIncomeStatement,			Amortization,				AmortizationOfIntangiblesIncomeStatement,OperatingIncome,NetNonOperatingInterestIncomeExpense,	InterestExpenseNonOperating,	TotalOtherFinanceCost,OtherIncomeExpense,	GainOnSaleOfSecurity,	SpecialIncomeCharges,		RestructuringAndMergernAcquisition,		ImpairmentOfCapitalAssets,		OtherSpecialCharges,		GainOnSaleOfBusiness,	OtherNonOperatingIncomeExpenses,PretaxIncome,TaxProvision,NetIncomeCommonStockholders,	NetIncome,		NetIncomeIncludingNoncontrollingInterests,			NetIncomeContinuousOperations,			NetIncomeDiscontinuousOperations,			NetIncomeExtraordinary,		MinorityInterests,	PreferredStockDividends,DilutedNIAvailtoComStockholders,BasicEPS,DilutedEPS,BasicAverageShares,DilutedAverageShares,TotalOperatingIncomeAsReported,TotalExpenses,NetIncomeFromContinuingAndDiscontinuedOperation,NormalizedIncome,InterestExpense,NetInterestIncome,EBIT,EBITDA,ReconciledCostOfRevenue,ReconciledDepreciation,NetIncomeFromContinuingOperationNetMinorityInterest,TotalUnusualItemsExcludingGoodwill,TotalUnusualItems,NormalizedEBITDA,TaxRateForCalcs,TaxEffectOfUnusualItems,open,high,low,close,adjclose,volume,ticker,MarketCap,EnterpriseValue,PeRatio,ForwardPeRatio,PsRatio,PbRatio,EnterprisesValueRevenueRatio,EnterprisesValueEBITDARatio,date
"1,269,857,000","1,269,857,000","821,154,000","448,703,000","354,519,000","354,519,000",,,,,,"94,184,000","-8,746,000","8,746,000",,"-12,055,000",,"-10,998,000","10,998,000",,,,"-1,057,000","73,383,000","20,020,000","53,363,000","53,363,000","53,363,000","53,363,000",,,0,,"53,363,000",5.69,5.67,"9,373,000","9,409,000","94,184,000","1,175,673,000","53,363,000","61,358,546","8,746,000","-8,746,000","82,129,000",,"821,154,000","43,526,000","53,363,000","-10,998,000","-10,998,000","136,653,000",0.273,"-3,002,454",294.3500061035156,297.739990234375,288.5899963378906,288.7799987792969,288.3730773925781,34100.0,COKE,"2,706,933,908","3,810,931,908",15.78,,0.544,5.277,3.001,30.329,2021-03-31
"1,278,637,000","1,278,637,000","816,762,000","461,875,000","368,280,000","368,280,000",,,,,,"93,595,000","-8,957,000","8,957,000",,"4,223,000",,"3,858,000","-3,858,000",,,,"365,000","88,861,000","20,032,000","66,378,000","66,378,000","68,829,000","68,829,000",,,"-2,451,000",,"66,378,000",,,,,"93,595,000","1,185,042,000","66,378,000","63,389,711.752","8,957,000","-8,957,000","97,818,000",,"816,762,000","44,528,000","66,378,000","3,858,000","3,858,000","138,488,000",0.225,"869,711.752",265.260009765625,267.8900146484375,264.4200134277344,266.2699890136719,265.63531494140625,11000.0,COKE,"2,495,932,169","3,514,213,169",26.182,,0.635,5.568,2.748,24.688,2020-12-31
"1,328,484,000","1,328,484,000","856,046,000","472,438,000","368,594,000","368,594,000",,,,,,"103,844,000","-9,033,000","9,033,000",,"-21,394,000",,"-19,808,000","19,808,000",,,,"-1,586,000","73,417,000","18,363,000","51,884,000","51,884,000","55,054,000","55,054,000",,,"-3,170,000",,"51,884,000",5.53,5.51,"9,373,000","9,430,000","103,844,000","1,224,640,000","51,884,000","66,740,000","9,033,000","-9,033,000","82,450,000",,"856,046,000","48,093,000","51,884,000","-19,808,000","-19,808,000","150,351,000",0.25,"-4,952,000",239.11000061035156,241.74000549316406,236.6300048828125,240.67999267578125,239.865234375,26800.0,COKE,"2,256,059,467","3,307,769,467",39.848,,0.581,5.677,2.49,25.339,2020-09-30
"1,227,215,000","1,227,215,000","797,914,000","429,301,000","346,183,000","346,183,000",,,,,,"83,118,000","-9,184,000","9,184,000",,"-16,134,000",,"-14,548,000","14,548,000",,,,"-1,586,000","57,800,000","15,187,000","39,569,000","39,569,000","42,613,000","42,613,000",,,"-3,044,000",,"39,569,000",4.23,4.19,"9,373,000","9,440,000","83,118,000","1,144,097,000","39,569,000","50,290,876","9,184,000","-9,184,000","66,984,000",,"797,914,000","42,837,000","39,569,000","-14,548,000","-14,548,000","124,369,000",0.263,"-3,826,124",230.60000610351562,233.0,228.39999389648438,229.19000244140625,228.1632537841797,19700.0,COKE,"2,148,355,780","3,367,557,780",65.67,,0.548,5.981,2.744,30.664,2020-06-30
"1,173,021,000","1,173,021,000","767,726,000","405,295,000","372,474,000","372,474,000",,,,,,"32,821,000","-9,561,000","9,561,000",,"-2,298,000",,"-712,000","712,000",,,,"-1,586,000","20,962,000","5,361,000","14,662,000","14,662,000","15,601,000","15,601,000",,,"-939,000",,"14,662,000",1.56,1.55,"9,373,000","9,444,000","32,821,000","1,140,200,000","14,662,000","15,191,728","9,561,000","-9,561,000","30,523,000",,"767,726,000","43,559,000","14,662,000","-712,000","-712,000","74,794,000",0.256,"-182,272",207.3699951171875,212.7899932861328,204.3000030517578,208.52999877929688,207.3638153076172,52800.0,COKE,"1,954,695,366","3,134,795,366",172.339,,0.503,5.634,2.672,42.315,2020-03-31
"1,178,949,000","1,178,949,000","765,758,000","413,191,000","373,651,000","373,651,000",,,,,,"39,540,000","-10,144,000","10,144,000","10,144,000","-32,796,000",,"-30,771,000","30,771,000",,,,"-2,025,000","-3,400,000","4,864,000","-10,170,000","-10,170,000","-8,264,000","-8,264,000",,,"-1,906,000",,"-10,170,000",-1.09,-1.09,"9,373,000","11,649,000","39,540,000","1,139,409,000","-10,170,000","12,292,830","10,144,000","-10,144,000","6,744,000",,"765,758,000","43,500,000","-10,170,000","-30,771,000","-30,771,000","81,015,000",0.27,"-8,308,170",288.5799865722656,290.75,283.1300048828125,284.04998779296875,282.2109375,41900.0,COKE,"2,662,596,360","3,849,453,360",,,0.556,7.028,3.265,76.615,2019-12-31
"1,271,029,000","1,271,029,000","838,805,000","432,224,000","378,378,000","378,378,000",,,,,,"53,846,000","-10,965,000","10,965,000","10,965,000","-20,711,000",,"-18,749,000","18,749,000",,,,"-1,962,000","22,170,000","6,624,000","13,006,000","13,006,000","15,546,000","15,546,000",,,"-2,540,000",,"13,006,000",1.39,1.38,"9,373,000","9,413,000","53,846,000","1,217,183,000","13,006,000","26,149,049","10,965,000","-10,965,000","33,135,000",,"838,805,000","45,588,000","13,006,000","-18,749,000","-18,749,000","97,472,000",0.299,"-5,605,951",301.2699890136719,304.80999755859375,298.2300109863281,303.8699951171875,301.6242980957031,43100.0,COKE,"2,848,382,876","4,081,974,876",422.042,,0.604,7.74,3.212,51.852,2019-09-30
"1,273,659,000","1,273,659,000","837,880,000","435,779,000","368,565,000","368,565,000",,,,,,"67,214,000","-11,995,000","11,995,000","11,995,000","-31,181,000",,"-29,222,000","29,222,000",,,,"-1,959,000","24,038,000","7,182,000","15,370,000","15,370,000","16,856,000","16,856,000",,,"-1,486,000",,"15,370,000",1.64,1.64,"9,373,000","9,421,000","67,214,000","1,206,445,000","15,370,000","35,854,622","11,995,000","-11,995,000","36,033,000",,"837,880,000","45,056,000","15,370,000","-29,222,000","-29,222,000","110,311,000",0.299,"-8,737,378",,,,,,,,"2,805,076,433","4,091,262,433",,,0.6,7.916,3.212,50.454,2019-06-30
"1,102,912,000","1,102,912,000","713,604,000","389,308,000","369,154,000","369,154,000",,,,,,"20,154,000","-12,886,000","12,886,000","12,886,000","-15,851,000",,"-14,046,000","14,046,000",,,,"-1,805,000","-8,583,000","-3,005,000","-6,831,000","-6,831,000","-5,578,000","-5,578,000",,,"-1,253,000",,"-6,831,000",-0.73,-0.73,"9,360,000","9,360,000","20,154,000","1,082,758,000","-6,831,000","2,298,900","12,886,000","-12,886,000","4,303,000",,"713,604,000","45,772,000","-6,831,000","-14,046,000","-14,046,000","64,121,000",0.35,"-4,916,100",,,,,,,,"2,698,028,904","3,896,832,904",,,0.582,7.532,3.533,77.82,2019-03-31
"1,114,367,000","1,114,367,000","755,924,000","358,443,000","345,627,000","345,627,000",,,,,,"12,816,000","-12,889,000","12,889,000","12,889,000","-27,241,000",0,"-27,183,000","27,183,000",,,,"-58,000","-27,314,000","-1,518,000","-26,976,000","-26,976,000","-25,796,000","-25,796,000",,,"-1,180,000",,"-26,976,000",-2.88,-2.88,"9,354,000","9,354,000","12,816,000","1,101,551,000","-26,976,000","-1,303,719.558","12,889,000","-12,889,000","-14,425,000",,"755,924,000","46,760,000","-26,976,000","-27,183,000","-27,183,000","59,518,000",0.056,"-1,510,719.558",179.69000244140625,180.94000244140625,173.75999450683594,177.3800048828125,175.5746612548828,28800.0,COKE,"1,659,295,001","2,893,245,001",19.578,,0.359,4.451,2.596,89.477,2018-12-31
"1,211,661,000","1,211,661,000","791,317,000","420,344,000","375,940,000","375,940,000",,,,,,"44,404,000","-12,827,000","12,827,000","12,827,000","11,866,000","10,170,000","2,373,000","-2,373,000",,,,"-677,000","43,443,000","16,493,000","25,164,000","25,164,000","26,950,000","26,950,000",,,"-1,786,000",,"25,164,000",2.69,2.69,"9,354,000","9,405,000","44,404,000","1,167,257,000","25,164,000","17,387,340","12,827,000","-12,827,000","56,270,000",,"791,317,000","46,589,000","25,164,000","12,543,000","12,543,000","90,316,000",0.38,"4,766,340",,,,,,,,"1,705,131,880","2,897,390,880",22.175,,0.372,4.883,2.391,28.169,2018-09-30
"1,227,272,000","1,227,272,000","815,295,000","411,977,000","392,298,000","392,298,000",,,,,,"19,679,000","-12,744,000","12,744,000","12,744,000","-9,818,000",,"-9,143,000","9,143,000",,,,"-675,000","-2,883,000","-135,000","-3,933,000","-3,933,000","-2,748,000","-2,748,000",,,"-1,185,000",,"-3,933,000",-0.42,-0.42,"9,354,000","9,354,000","19,679,000","1,207,593,000","-3,933,000","4,780,279","12,744,000","-12,744,000","9,861,000",,"815,295,000","46,687,000","-3,933,000","-9,143,000","-9,143,000","65,691,000",0.047,"-429,721",,,,,,,,"1,264,068,855","2,508,114,855",14.499,,0.28,3.563,2.044,44.354,2018-06-30
"1,072,064,000","1,072,064,000","707,116,000","364,948,000","383,945,000","383,945,000",,,,,,"-18,997,000","-12,046,000","12,046,000","12,046,000","4,510,000",,,,,,,"4,510,000","-26,533,000","-12,971,000","-14,185,000","-14,185,000","-13,562,000","-13,562,000",,,"-623,000",,"-14,185,000",-1.52,-1.52,"9,340,000","9,340,000","-18,997,000","1,091,061,000","-14,185,000","-14,185,000","12,046,000","-12,046,000","-14,487,000",,"707,116,000","47,220,000","-14,185,000",,,"32,733,000",0.27,0,,,,,,,,"1,615,235,471","2,767,082,471",16.764,,0.374,4.405,2.581,84.535,2018-03-31
"1,126,149,000","1,126,149,000","742,725,000","383,424,000","384,296,000","384,296,000",,,,,,"-872,000","-11,262,000","11,262,000","11,262,000","41,265,000","12,893,000","28,372,000",,,"-41,265,000",,"28,372,000","29,131,000","-51,641,000","77,922,000","77,922,000","80,772,000","80,772,000",,,"-2,850,000",,"77,922,000",8.35,8.31,"9,334,000","9,374,000","-872,000","1,127,021,000","77,922,000","77,922,000","11,262,000","-11,262,000","40,393,000",,"742,725,000","48,548,000","77,922,000","12,893,000","12,893,000","88,941,000",0.4,0,,,,,,,,"2,009,273,218","3,174,312,218",50.412,,0.499,6.84,2.819,35.69,2017-12-31
"1,162,526,000","1,162,526,000","752,202,000","410,324,000","374,194,000","374,194,000",,,,,,"36,130,000","-10,697,000","10,697,000","10,697,000","5,226,000",,"5,226,000",,,"-5,226,000",,"5,226,000","30,659,000","11,748,000","17,316,000","17,316,000","18,911,000","18,911,000",,,"-1,595,000",,"17,316,000",1.86,1.85,"9,334,000","9,374,000","36,130,000","1,126,396,000","17,316,000","17,316,000","10,697,000","-10,697,000","41,356,000",,"752,202,000","43,246,000","17,316,000",,"5,226,000","84,602,000",0.383,0,,,,,,,,"2,013,846,961","3,130,131,961",43.941,,0.542,7.235,2.693,36.998,2017-09-30
"1,169,291,000","1,169,291,000","754,113,000","415,178,000","367,865,000","367,865,000",,,,,,"47,313,000","-10,440,000","10,440,000","10,440,000","-25,549,000",,"-25,549,000",,,"25,549,000",,"-25,549,000","11,324,000","3,743,000","6,348,000","6,348,000","7,581,000","7,581,000",,,"-1,233,000",,"6,348,000",0.68,0.68,"9,334,000","9,374,000","47,313,000","1,121,978,000","6,348,000","6,348,000","10,440,000","-10,440,000","21,764,000",,"754,113,000","42,066,000","6,348,000",,"-25,549,000","63,830,000",0.331,0,232.00999450683594,234.5399932861328,228.44000244140625,228.8699951171875,224.6930694580078,19200.0,COKE,"2,136,311,259","3,175,467,259",38.792,,0.63,7.801,2.716,49.749,2017-06-30
"865,702,000","865,702,000","533,681,000","332,021,000","318,413,000","318,413,000",,,,,,"13,608,000","-9,470,000","9,470,000","9,470,000","-12,246,000",,"12,246,000",,,,,"-12,246,000","-8,108,000","-3,691,000","-5,051,000","-5,051,000","-4,417,000","-4,417,000",,,"-634,000",,"-5,051,000",-0.54,-0.54,"7,141,000","9,319,000","13,608,000","852,094,000","-5,051,000","-5,051,000","9,470,000","-9,470,000","1,362,000",,"533,681,000","34,981,000","-5,051,000",,"12,246,000","36,343,000",0.4,0,203.55999755859375,207.39999389648438,203.33999633789062,206.02000427246094,202.01614379882812,53900.0,COKE,"1,923,025,497","2,876,476,497",38.437,,0.61,6.939,3.323,79.148,2017-03-31
"841,560,000","841,560,000","516,633,000","324,927,000","304,006,000","304,006,000",,,,,,"20,921,000","-8,704,000","8,704,000","8,704,000","27,970,000",,0,,0,"-27,970,000",0,"27,970,000","40,187,000","17,368,000","21,393,000","21,393,000","22,819,000","22,819,000",,,"-1,426,000",,"21,393,000",2.31,2.3,"9,313,000","9,353,000","20,921,000","820,639,000","21,393,000","21,393,000","8,704,000","-8,704,000","48,891,000",,"516,633,000","33,237,000","21,393,000",0,0,"82,128,000",0.4,0,,,,,,,,"1,665,656,698","2,500,136,698",50.523,,0.569,6.181,2.971,30.442,2016-12-31
"849,028,000","849,028,000","521,838,000","327,190,000","287,389,000","287,389,000",,,,,,"39,801,000","-8,452,000","8,452,000","8,452,000","7,325,000",,0,,,"-7,325,000",0,"7,325,000","38,674,000","13,121,000","23,142,000","23,142,000","25,553,000","25,553,000",,,"-2,411,000",,"23,142,000",2.48,2.47,"9,313,000","9,353,000","39,801,000","809,227,000","23,142,000","23,142,000","8,452,000","-8,452,000","47,126,000",,"521,838,000","31,057,000","23,142,000",0,0,"78,183,000",0.339,0,143.1999969482422,149.25999450683594,142.69000244140625,148.16000366210938,144.8169403076172,115900.0,COKE,"1,379,836,155","2,230,236,155",38.989,,0.512,5.556,2.627,28.526,2016-09-30
"840,384,000","840,384,000","520,677,000","319,707,000","264,971,000","264,971,000",,,,,,"54,736,000","-9,808,000","9,808,000","9,808,000","-16,966,000",,"-16,966,000",,,,,"-16,966,000","27,962,000","10,638,000","15,652,000","15,652,000","17,324,000","17,324,000",,,"-1,672,000",,"15,652,000",1.68,1.67,"9,313,000","9,353,000","54,736,000","785,648,000","15,652,000","15,652,000","9,808,000","-9,808,000","37,770,000",,"520,677,000","27,940,000","15,652,000",,"-16,966,000","65,710,000",0.38,0,143.3300018310547,147.52000427246094,143.1199951171875,147.47000122070312,143.89840698242188,123100.0,COKE,"1,373,410,083","2,174,630,083",29.435,,0.555,5.851,2.588,33.094,2016-06-30
